English,Catalan
you,vostè
i,i
the,el
to,a
a,a
s,s
it,això
and,i
that,això
t,t
of,de
is,és
in,en
what,què
we,nosaltres
me,jo
this,això
he,ell
for,per
my,meu
on,activat
have,tenir
your,teu
do,fer
was,era
m,m
no,no
not,no
be,ser
are,són
don,don
re,re
know,saber
can,llauna
with,amb
but,però
all,tots
so,tan
just,només
there,allà
here,aquí
they,ells
like,M'agrada
ll,ll
get,aconseguir
she,ella
go,anar
if,si
right,dret
out,fora
about,Sobre
up,amunt
at,a les
him,ell
now,ara
oh,oh
one,un
come,vine
well,bé
her,ella
how,com
yeah,sí
ve,ve
will,voluntat
got,obtingut
want,voler
think,pensar
as,com
see,veure
did,va fer
good,bo
who,OMS
why,Per què
from,des de
let,deixar
his,seva
yes,sí
when,Quan
going,anant
time,temps
an,un
okay,bé
back,esquena
look,mira
us,nosaltres
would,ho faria
them,ells
where,on
were,eren
take,prendre
then,aleshores
had,tenia
or,o
been,estat
our,nostre
gonna,serà
tell,dir
really,realment
man,home
some,alguns
say,dir
hey,hola
could,podria
d,d
didn,no ho va fer
by,per
need,necessitat
something,alguna cosa
has,té
too,també
more,més
way,manera
down,cap avall
make,fer
very,molt
never,mai
only,només
people,gent
over,acabat
because,perquè
little,poc
please,si us plau
love,amor
should,hauria
mean,significar
said,dit
sorry,ho sento
give,donar
off,apagat
am,soc
thank,gràcies
any,cap
two,dos
even,fins i tot
much,molt
doing,fent
sure,segur
thing,cosa
these,aquests
help,ajuda
first,primer
into,a
anything,qualsevol cosa
still,encara
find,trobar
life,vida
nothing,res
sir,senyor
day,dia
god,Déu
work,treball
their,els seus
uh,eh
again,de nou
maybe,pot ser
must,haver de
before,abans
other,altres
wait,espera
stop,Atura
call,anomenada
after,després
won,va guanyar
talk,parlar
away,lluny
than,que
thought,pensat
home,casa
night,nit
put,posar
great,genial
those,aquells
last,darrer
better,millor
everything,tot
told,va dir
mr.,Sr.
new,nou
things,coses
always,sempre
keep,mantenir
long,llarg
years,anys
leave,marxar
does,fa
money,diners
around,al voltant
doesn,no
name,nom
place,lloc
ever,sempre
feel,sentir
guys,nois
father,pare
guy,paio
made,fet
old,vell
isn,isn
which,quin
big,gran
lot,lot
done,fet
hello,Hola
nice,bonic
believe,creure
girl,noia
someone,algú
fine,bé
thanks,gràcies
wanted,volia
kind,amable
coming,arribant
house,casa
every,cada
ok,D'acord
through,a través de
being,ser
course,curs
stay,quedar-se
left,esquerra
dad,pare
enough,suficient
happened,succeït
came,va venir
may,maig
mother,mare
wrong,mal
world,món
bad,dolent
might,podria
three,tres
today,avui
listen,escolta
another,un altre
understand,entendre
hear,escoltar
remember,recorda
ask,preguntar
own,propi
same,mateix
show,espectacle
else,altra cosa
kill,matar
talking,parlant
found,trobat
next,Pròxim
getting,aconseguint
care,cura
car,cotxe
looking,mirant
son,fill
try,provar
woman,dona
went,va anar
hi,hola
dead,mort
many,molts
mind,ment
wasn,era
friend,amic
best,millor
mom,mare
hell,infern
morning,matí
trying,intentant
boy,noi
together,junts
yourself,tu mateix
job,feina
saw,va veure
family,família
real,real
without,sense
baby,nadó
room,habitació
wouldn,ho faria
already,ja
move,moure's
most,la majoria
seen,vist
live,viu
miss,senyoreta
actually,en realitat
huh,eh
shit,merda
both,tots dos
heard,sentit
once,un cop
ready,llest
head,cap
called,va trucar
used,utilitzat
